mA limit_exp limit_obs GammaA_div_mA
950 0.0127157 0.0133016 0.05
1000 0.0105648 0.0104495 0.05
220 0.625404 0.385596 0.06
240 1.14311 0.746788 0.06
260 1.13319 0.825841 0.06
280 0.970524 0.599114 0.06
300 0.728908 0.441668 0.06
320 0.568565 0.496553 0.06
340 0.441452 0.289686 0.06
360 0.360651 0.331999 0.06
380 0.277242 0.421753 0.06
400 0.223817 0.437701 0.06
420 0.183239 0.422691 0.06
440 0.151718 0.354115 0.06
460 0.128357 0.243984 0.06
480 0.110261 0.173905 0.06
500 0.0971589 0.150182 0.06
550 0.0679896 0.0610516 0.06
600 0.0504915 0.0255199 0.06
650 0.0384534 0.0214419 0.06
700 0.030274 0.0176944 0.06
750 0.0260198 0.0148093 0.06
800 0.0207031 0.0113383 0.06
850 0.0179716 0.0120987 0.06
900 0.0147011 0.0131871 0.06
950 0.0129419 0.0132855 0.06
1000 0.0107322 0.0104568 0.06
220 0.566294 0.33439 0.11
240 0.883912 0.503768 0.11
260 1.14993 0.64743 0.11
280 1.13772 0.585584 0.11
300 0.939146 0.507371 0.11
320 0.744832 0.510642 0.11
340 0.585904 0.394203 0.11
360 0.468146 0.449805 0.11
380 0.361723 0.562998 0.11
400 0.285346 0.586478 0.11
420 0.232048 0.547713 0.11
440 0.189699 0.440172 0.11
460 0.159209 0.317203 0.11
480 0.135574 0.227268 0.11
500 0.117055 0.169081 0.11
550 0.0804639 0.0630821 0.11
600 0.0577877 0.0292714 0.11
650 0.0436417 0.0228845 0.11
700 0.0339449 0.0194665 0.11
750 0.0289821 0.0161567 0.11
800 0.0226788 0.0129457 0.11
850 0.0196147 0.0133094 0.11
900 0.0159014 0.0135317 0.11
950 0.0137832 0.0130218 0.11
1000 0.0113582 0.0104488 0.11
